"","X","Y","ci","lon","lat"
"12270",222.127281117,-269.699752565,1,-80.8864744682623,42.6447882634049
"12271",223.227281117,-269.699752565,1,-80.8730468437467,42.6444572800103
"12272",224.327281117,-269.699752565,1,-80.8596193682988,42.6441246633443
"12273",225.427281117,-269.699752565,1,-80.8461920426497,42.6437904134325
"12274",226.527281117,-269.699752565,1,-80.8327648675306,42.6434545303011
"12275",227.627281117,-269.699752565,1,-80.8193378436726,42.6431170139759
"12307",262.827281117,-269.699752565,1,-80.3897573185089,42.6314543278151
"12308",263.927281117,-269.699752565,1,-80.3763356960957,42.6310629315391
"12309",265.027281117,-269.699752565,1,-80.362914249771,42.6306699030301
"12310",266.127281117,-269.699752565,1,-80.3494929802641,42.6302752423185
"12311",267.227281117,-269.699752565,1,-80.3360718883042,42.629878949435
"12312",268.327281117,-269.699752565,1,-80.3226509746204,42.6294810244103
"12477",70.327281117,-270.799752565,156,-82.7407305899974,42.6649044762795
"12478",71.427281117,-270.799752565,156,-82.7272916489224,42.6647990918229
"12479",72.527281117,-270.799752565,1,-82.7138527556182,42.6646920720025
"12480",73.627281117,-270.799752565,1,-82.7004139108203,42.6645834168268
"12481",74.727281117,-270.799752565,1,-82.6869751152639,42.6644731263041
"12482",75.827281117,-270.799752565,1,-82.6735363696843,42.6643612004431
"12483",76.927281117,-270.799752565,1,-82.6600976748169,42.6642476392525
"12484",78.027281117,-270.799752565,1,-82.6466590313969,42.664132442741
"12583",186.927281117,-270.799752565,1,-81.3166104387274,42.6446351612622
"12584",188.027281117,-270.799752565,1,-81.3031806492483,42.6443564990572
"12585",189.127281117,-270.799752565,1,-81.2897509853507,42.6440762030768
"12586",190.227281117,-270.799752565,1,-81.276321447767,42.6437942733427
"12587",191.327281117,-270.799752565,1,-81.2628920372294,42.6435107098767
"12588",192.427281117,-270.799752565,1,-81.2494627544701,42.6432255127009
"12589",193.527281117,-270.799752565,1,-81.2360336002214,42.6429386818374
"12590",194.627281117,-270.799752565,1,-81.2226045752153,42.6426502173084
"12591",195.727281117,-270.799752565,1,-81.209175680184,42.6423601191364
"12592",196.827281117,-270.799752565,1,-81.1957469158595,42.6420683873438
"12593",197.927281117,-270.799752565,1,-81.1823182829739,42.6417750219533
"12594",199.027281117,-270.799752565,1,-81.1688897822591,42.6414800229876
"12595",200.127281117,-270.799752565,1,-81.155461414447,42.6411833904697
"12596",201.227281117,-270.799752565,1,-81.1420331802696,42.6408851244226
"12597",202.327281117,-270.799752565,1,-81.1286050804586,42.6405852248694
"12598",203.427281117,-270.799752565,1,-81.1151771157459,42.6402836918333
"12599",204.527281117,-270.799752565,1,-81.1017492868632,42.6399805253378
"12600",205.627281117,-270.799752565,1,-81.0883215945422,42.6396757254064
"12601",206.727281117,-270.799752565,1,-81.0748940395146,42.6393692920626
"12602",207.827281117,-270.799752565,1,-81.0614666225121,42.6390612253305
"12603",208.927281117,-270.799752565,1,-81.0480393442661,42.6387515252337
"12604",210.027281117,-270.799752565,1,-81.0346122055082,42.6384401917963
"12605",211.127281117,-270.799752565,1,-81.0211852069699,42.6381272250426
"12606",212.227281117,-270.799752565,1,-81.0077583493827,42.6378126249967
"12607",213.327281117,-270.799752565,1,-80.9943316334778,42.637496391683
"12608",214.427281117,-270.799752565,1,-80.9809050599868,42.6371785251262
"12609",215.527281117,-270.799752565,1,-80.9674786296408,42.6368590253508
"12610",216.627281117,-270.799752565,1,-80.9540523431711,42.6365378923815
"12611",217.727281117,-270.799752565,1,-80.9406262013089,42.6362151262435
"12612",218.827281117,-270.799752565,1,-80.9272002047854,42.6358907269616
"12613",219.927281117,-270.799752565,1,-80.9137743543317,42.635564694561
"12614",221.027281117,-270.799752565,1,-80.9003486506789,42.635237029067
"12615",222.127281117,-270.799752565,1,-80.8869230945578,42.6349077305051
"12616",223.227281117,-270.799752565,1,-80.8734976866996,42.6345767989006
"12617",224.327281117,-270.799752565,1,-80.8600724278352,42.6342442342794
"12618",225.427281117,-270.799752565,1,-80.8466473186953,42.6339100366672
"12619",226.527281117,-270.799752565,1,-80.8332223600109,42.6335742060899
"12620",227.627281117,-270.799752565,1,-80.8197975525126,42.6332367425735
"12621",228.727281117,-270.799752565,1,-80.8063728969313,42.6328976461444
"12622",229.827281117,-270.799752565,1,-80.7929483939975,42.6325569168285
"12623",230.927281117,-270.799752565,1,-80.7795240444419,42.6322145546525
"12624",232.027281117,-270.799752565,1,-80.7660998489951,42.6318705596429
"12625",233.127281117,-270.799752565,1,-80.7526758083875,42.6315249318263
"12649",259.527281117,-270.799752565,1,-80.430547184032,42.6227400936775
"12650",260.627281117,-270.799752565,1,-80.4171272516728,42.622353654721
"12651",261.727281117,-270.799752565,1,-80.4037074931278,42.6219655836949
"12652",262.827281117,-270.799752565,1,-80.3902879091262,42.6215758806295
"12653",263.927281117,-270.799752565,1,-80.376868500397,42.6211845455546
"12654",265.027281117,-270.799752565,1,-80.3634492676691,42.6207915785009
"12655",266.127281117,-270.799752565,1,-80.3500302116714,42.6203969794985
"12656",267.227281117,-270.799752565,1,-80.3366113331328,42.6200007485781
"12657",268.327281117,-270.799752565,1,-80.323192632782,42.6196028857705
